"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Margin of Error","","±2,991","±3,009","±2,989","±1,544","±1,337","±2,164","±1,483","±2,181","±1,368","±1,862","±1,761","","±2,282","±1,260","±2,061","±2,183","±1,043","±1,155","±792","","±30","","±5,188","±3,988","±579","±2,928","±173","±5,287","±5,446","±4,790","±5,126"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,065","78.4%","76.8%","9.5%","12.7%","23.8%","9.0%","30.7%","5.9%","17.6%","16.5%","","45,022","12.6%","35.2%","29.2%","8.9%","10.3%","3.9%","","205,917","","50.3%","15.3%","0.4%","5.7%","0.1%","9.4%","18.8%","26.6%","47.9%"
"        Margin of Error","","±2,991","±2.8","±2.8","±2.1","±1.7","±2.6","±1.9","±3.0","±1.8","±2.4","±2.3","","±2,282","±2.8","±4.1","±4.1","±2.3","±2.7","±1.8","","±30","","±2.5","±1.9","±0.3","±1.4","±0.1","±2.6","±2.6","±2.3","±2.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","87,121","88,578","86,040","36,048","28,105","16,997","9,410","(X)","4,561","35,369","16,470","","100,558","71,490","70,351","124,473","94,822","154,744","159,431","","32,772","","41,963","27,809","39,159","26,563","N","18,895","20,805","21,076","42,745"
"        Margin of Error","","±5,623","±5,272","±5,132","±12,212","±18,768","±1,254","±1,213","(X)","±1,262","±15,430","±2,883","","±9,562","±61,826","±13,087","±11,505","±13,417","±25,498","±32,005","","±2,337","","±4,369","±4,491","±18,107","±6,733","N","±3,917","±3,181","±2,767","±4,577"
"Wayne-Westland Community School District, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,913","27,278","26,536","2,866","3,510","11,894","2,414","8,007","1,754","9,039","8,069","","20,031","3,641","7,530","3,861","2,408","1,567","1,024","","86,261","","56,316","18,435","1,447","3,178","0","1,279","5,606","4,433","55,202"
"        Margin of Error","","±2,226","±2,033","±2,097","±730","±673","±1,525","±689","±1,510","±600","±1,364","±1,374","","±1,711","±1,001","±1,168","±813","±709","±642","±487","","±4,998","","±4,679","±3,503","±1,887","±1,437","±181","±990","±1,721","±2,107","±4,548"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,913","73.9%","71.9%","7.8%","9.5%","32.2%","6.5%","21.7%","4.8%","24.5%","21.9%","","20,031","18.2%","37.6%","19.3%","12.0%","7.8%","5.1%","","86,261","","65.3%","21.4%","1.7%","3.7%","0.0%","1.5%","6.5%","5.1%","64.0%"
"        Margin of Error","","±2,226","±3.4","±3.6","±2.0","±1.8","±3.9","±1.9","±3.8","±1.6","±3.4","±3.2","","±1,711","±4.4","±4.7","±4.0","±3.4","±3.2","±2.4","","±4,998","","±4.4","±3.6","±2.2","±1.7","±0.2","±1.1","±1.9","±2.4","±4.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","66,855","69,390","68,620","25,092","5,908","19,432","9,306","(X)","4,056","20,816","13,065","","78,361","42,195","66,087","108,685","72,671","129,674","117,742","","29,434","","31,644","28,329","11,713","28,694","N","16,866","18,728","23,818","31,406"
"        Margin of Error","","±3,782","±5,213","±5,293","±10,700","±4,070","±1,598","±1,748","(X)","±1,368","±3,014","±2,089","","±5,406","±6,384","±9,361","±11,241","±9,864","±11,916","±22,298","","±2,149","","±2,557","±6,122","±10,013","±7,384","N","±5,457","±6,826","±11,888","±2,501"
"Detroit Public Schools Community District, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","251,729","167,674","160,025","19,028","16,336","83,392","33,960","102,735","13,378","56,757","55,008","","132,517","29,455","59,559","12,608","20,364","4,562","5,969","","632,589","","71,163","484,779","2,790","8,924","115","28,796","36,022","48,438","64,915"
"        Margin of Error","","±4,285","±4,632","±4,419","±2,006","±1,803","±3,333","±2,428","±4,239","±1,887","±2,749","±3,679","","±3,687","±2,855","±3,627","±1,633","±2,425","±1,034","±1,326","","±101","","±4,709","±7,559","±1,203","±2,086","±153","±3,675","±5,458","±4,014","±4,539"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","251,729","66.6%","63.6%","7.6%","6.5%","33.1%","13.5%","40.8%","5.3%","22.5%","21.9%","","132,517","22.2%","44.9%","9.5%","15.4%","3.4%","4.5%","","632,589","","11.2%","76.6%","0.4%","1.4%","0.0%","4.6%","5.7%","7.7%","10.3%"
"        Margin of Error","","±4,285","±1.4","±1.4","±0.8","±0.7","±1.3","±1.0","±1.6","±0.7","±1.1","±1.4","","±3,687","±2.0","±2.4","±1.2","±1.8","±0.8","±1.0","","±101","","±0.7","±1.2","±0.2","±0.3","±0.1","±0.6","±0.9","±0.6","±0.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,157","54,827","54,567","24,229","16,015","17,435","9,739","(X)","4,381","19,885","12,778","","60,267","29,196","48,311","121,447","72,797","139,684","100,221","","22,122","","33,038","20,884","20,803","24,733","N","15,263","22,204","16,114","34,955"
"        Margin of Error","","±1,933","±2,529","±2,527","±5,350","±8,683","±517","±521","(X)","±1,277","±1,388","±839","","±2,973","±2,966","±3,416","±14,590","±7,258","±27,591","±13,243","","±842","","±4,024","±834","±5,037","±6,359","N","±2,755","±4,138","±1,643","±4,475"
"Ann Arbor Public Schools, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","73,913","61,486","59,331","10,469","22,951","17,363","2,130","5,129","2,052","15,101","10,713","","35,457","4,120","11,017","14,261","3,005","2,330","724","","176,260","","118,442","13,482","592","27,666","0","2,784","13,294","9,426","115,646"
"        Margin of Error","","±3,018","±2,984","±2,815","±1,663","±1,810","±1,614","±732","±1,151","±679","±1,497","±1,657","","±2,411","±848","±1,654","±1,467","±732","±667","±373","","±4,890","","±4,794","±2,267","±514","±1,758","±181","±1,432","±1,839","±1,870","±4,582"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","73,913","83.2%","80.3%","14.2%","31.1%","23.5%","2.9%","6.9%","2.8%","20.4%","14.5%","","35,457","11.6%","31.1%","40.2%","8.5%","6.6%","2.0%","","176,260","","67.2%","7.6%","0.3%","15.7%","0.0%","1.6%","7.5%","5.3%","65.6%"
"        Margin of Error","","±3,018","±1.9","±2.1","±2.1","±2.1","±2.0","±1.0","±1.5","±0.9","±1.9","±2.1","","±2,411","±2.3","±3.6","±3.4","±2.1","±1.8","±1.1","","±4,890","","±1.8","±1.2","±0.3","±1.1","±0.1","±0.8","±1.1","±1.0","±1.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","118,180","111,578","108,682","39,380","23,021","26,598","11,183","(X)","5,024","44,160","17,115","","173,929","117,261","138,746","213,568","177,809","210,136","118,356","","51,672","","56,390","31,906","N","49,457","N","17,407","38,643","30,867","57,042"
"        Margin of Error","","±6,825","±7,057","±7,404","±8,613","±6,106","±1,413","±2,645","(X)","±1,842","±7,932","±3,445","","±13,290","±28,744","±23,808","±22,101","±50,729","±33,810","±27,854","","±2,644","","±3,603","±6,630","N","±6,560","N","±8,754","±7,496","±8,062","±3,687"
"Chippewa Valley Schools, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,454","32,433","31,807","3,579","7,161","13,575","1,618","3,398","1,276","10,983","6,170","","28,409","4,301","7,616","8,408","2,721","3,898","1,465","","107,875","","86,264","9,117","180","4,236","0","757","7,321","3,402","86,116"
"        Margin of Error","","±2,308","±2,046","±1,970","±1,162","±1,205","±1,759","±702","±1,085","±591","±1,661","±1,429","","±1,971","±869","±1,382","±1,410","±952","±993","±770","","±6,066","","±6,121","±3,212","±182","±2,541","±181","±786","±2,540","±1,430","±6,176"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,454","78.2%","76.7%","8.6%","17.3%","32.7%","3.9%","8.2%","3.1%","26.5%","14.9%","","28,409","15.1%","26.8%","29.6%","9.6%","13.7%","5.2%","","107,875","","80.0%","8.5%","0.2%","3.9%","0.0%","0.7%","6.8%","3.2%","79.8%"
"        Margin of Error","","±2,308","±2.9","±2.8","±2.7","±2.6","±3.6","±1.6","±2.6","±1.4","±3.7","±3.4","","±1,971","±2.8","±4.6","±4.3","±3.3","±3.5","±2.7","","±6,066","","±4.0","±3.0","±0.2","±2.3","±0.1","±0.7","±2.3","±1.3","±4.0"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","96,937","96,540","94,599","34,131","26,451","24,610","12,196","(X)","7,884","22,458","14,166","","110,641","72,075","90,921","132,591","83,925","158,060","123,850","","37,179","","39,991","23,423","N","32,084","N","N","24,774","36,470","39,962"
"        Margin of Error","","±6,760","±7,026","±7,224","±12,135","±19,605","±1,650","±3,576","(X)","±1,604","±2,598","±2,697","","±7,683","±9,461","±16,386","±20,277","±14,141","±18,284","±25,567","","±2,801","","±3,154","±5,562","N","±9,479","N","N","±7,569","±12,422","±3,160"
"Dearborn City School District, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,981","29,540","27,639","4,524","7,008","11,108","3,376","8,811","1,995","8,501","6,947","","27,018","4,122","10,312","5,237","3,820","2,070","1,457","","116,683","","100,962","5,031","126","2,231","0","1,813","6,520","4,021","100,309"
"        Margin of Error","","±1,795","±1,755","±1,775","±1,027","±1,245","±1,530","±850","±1,174","±680","±1,337","±1,061","","±1,250","±905","±1,508","±1,277","±1,049","±644","±505","","±1,899","","±4,437","±1,645","±125","±1,293","±181","±1,551","±2,348","±1,716","±4,580"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,981","77.8%","72.8%","11.9%","18.5%","29.2%","8.9%","23.2%","5.3%","22.4%","18.3%","","27,018","15.3%","38.2%","19.4%","14.1%","7.7%","5.4%","","116,683","","86.5%","4.3%","0.1%","1.9%","0.0%","1.6%","5.6%","3.4%","86.0%"
"        Margin of Error","","±1,795","±3.2","±3.5","±2.6","±3.0","±3.6","±2.3","±3.3","±1.8","±3.1","±3.1","","±1,250","±3.4","±5.1","±4.5","±3.7","±2.5","±1.9","","±1,899","","±3.4","±1.4","±0.1","±1.1","±0.1","±1.3","±2.0","±1.5","±3.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","80,943","80,712","78,252","48,946","11,241","19,545","10,286","(X)","7,316","27,112","16,465","","90,040","41,740","66,048","129,485","125,353","132,863","101,283","","26,810","","27,127","23,458","N","55,228","N","18,656","16,948","24,686","27,116"
"        Margin of Error","","±6,748","±7,645","±6,809","±26,350","±4,287","±1,488","±2,116","(X)","±4,801","±6,753","±2,792","","±8,816","±8,917","±9,023","±19,885","±33,698","±32,147","±29,625","","±2,719","","±2,922","±9,707","N","±20,141","N","±21,666","±5,365","±6,146","±2,899"
"Farmington Public School District, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,903","29,399","28,586","3,372","9,904","10,340","1,590","2,683","1,353","8,989","4,783","","22,829","N","N","N","N","N","N","","85,337","","53,429","16,462","61","11,263","0","332","3,790","2,012","52,777"
"        Margin of Error","","±2,062","±1,524","±1,543","±1,175","±1,563","±1,509","±632","±877","±631","±1,494","±1,074","","±1,453","N","N","N","N","N","N","","±3,631","","±4,519","±3,494","±77","±2,255","±181","±285","±1,323","±907","±4,505"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","36,903","79.7%","77.5%","9.1%","26.8%","28.0%","4.3%","7.3%","3.7%","24.4%","13.0%","","22,829","N","N","N","N","N","N","","85,337","","62.6%","19.3%","0.1%","13.2%","0.0%","0.4%","4.4%","2.4%","61.8%"
"        Margin of Error","","±2,062","±2.8","±2.9","±3.3","±3.7","±3.5","±1.7","±2.4","±1.7","±3.4","±3.0","","±1,453","N","N","N","N","N","N","","±3,631","","±4.4","±4.1","±0.1","±2.6","±0.2","±0.3","±1.5","±1.0","±4.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","107,895","109,311","110,018","20,364","15,764","25,054","7,890","(X)","2,660","30,742","12,616","","127,777","N","N","N","N","N","N","","47,385","","51,421","34,486","N","47,638","N","N","46,749","61,826","50,864"
"        Margin of Error","","±6,302","±7,132","±6,799","±7,668","±4,842","±2,255","±1,799","(X)","±905","±5,820","±3,403","","±9,171","N","N","N","N","N","N","","±2,814","","±3,609","±5,487","N","±4,890","N","N","±18,518","±22,350","±3,564"
"Flint City School District, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,837","20,525","19,306","2,884","2,565","11,082","5,013","11,373","1,405","6,677","5,755","","17,401","4,068","6,357","2,938","2,636","788","614","","80,628","","27,982","45,374","783","459","0","524","5,506","3,798","26,934"
"        Margin of Error","","±2,220","±1,577","±1,371","±1,008","±783","±1,560","±1,215","±1,779","±589","±1,266","±1,206","","±1,384","±872","±1,143","±1,078","±776","±411","±505","","±30","","±3,491","±3,582","±578","±417","±181","±396","±1,903","±1,699","±3,571"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,837","62.5%","58.8%","8.8%","7.8%","33.7%","15.3%","34.6%","4.3%","20.3%","17.5%","","17,401","23.4%","36.5%","16.9%","15.1%","4.5%","3.5%","","80,628","","34.7%","56.3%","1.0%","0.6%","0.0%","0.6%","6.8%","4.7%","33.4%"
"        Margin of Error","","±2,220","±4.0","±3.6","±3.0","±2.3","±3.7","±3.3","±4.6","±1.8","±3.6","±3.5","","±1,384","±4.4","±5.8","±6.3","±4.3","±2.3","±2.9","","±30","","±4.3","±4.4","±0.7","±0.5","±0.2","±0.5","±2.4","±2.1","±4.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,043","59,731","59,187","28,893","4,216","18,801","10,288","(X)","2,202","19,173","14,093","","62,021","32,734","52,181","94,894","67,364","155,434","57,802","","22,024","","27,542","18,970","16,368","N","N","N","19,983","24,824","27,748"
"        Margin of Error","","±8,216","±13,057","±13,498","±13,637","±2,821","±1,425","±963","(X)","±1,285","±2,569","±3,595","","±6,431","±6,846","±9,481","±14,330","±12,149","±46,484","±22,400","","±3,525","","±9,091","±2,711","±9,653","N","N","N","±6,688","±9,051","±9,416"
"Grand Rapids Public Schools, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
